Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Zhang_Zhang_Fetal_Extravillous_Trophoblast	-6.431328117890387e-08	1.802906344348426e-07	0.6393492968555985
Zhang_Zhang_Sm_Ms_GE_junction	-7.557362933356072e-08	2.0972243155405937e-07	0.6407075630835801
Zhang_Zhang_Beta_2	-5.3655673808954355e-08	1.3748706390453e-07	0.6518277762408097
Zhang_Zhang_Fetal_Macrophage_General_3	-9.062360794261827e-08	2.2737513074139828e-07	0.654892861459662
Zhang_Zhang_Nerve_Stromal	-7.620250761441824e-08	1.809290025882484e-07	0.6631858159849034
Zhang_Zhang_Astrocyte_2	-1.6105424527448e-07	3.73520566626223e-07	0.6668309092781199
Zhang_Zhang_Fetal_Oligo_Progenitor_2	-1.4635970068961883e-07	3.351982791691356e-07	0.6688123950510425
Zhang_Zhang_Fetal_Islet	-1.227755763272925e-07	2.632793102697371e-07	0.6795110738094752
Zhang_Zhang_Fibro_Muscle	-1.0192198269159533e-07	1.956562272666049e-07	0.6987900676532195
Zhang_Zhang_Fetal_Sympathoblast	-1.4725895826755353e-07	2.793853331574831e-07	0.7009316497857501
Zhang_Zhang_Endocardial	-1.1599415804295662e-07	2.161379808511595e-07	0.704251230621599
Zhang_Zhang_Sm_Ms_Colon_2	-1.1025506519898444e-07	2.02282210012842e-07	0.7071423843985792
Zhang_Zhang_Cardiac_Pericyte_4	-1.7349884044560708e-07	2.8423914329510265e-07	0.7292007124308526
Zhang_Zhang_Oligo_Precursor	-1.457366156678454e-07	2.3625440850545528e-07	0.7313374706838955
Zhang_Zhang_Cardiac_Pericyte_2	-1.2515949484380613e-07	1.9927444203831956e-07	0.7350229234492215
Zhang_Zhang_Schwann_General	-1.1323885588901577e-07	1.7684821644299051e-07	0.7390166178610533
Zhang_Zhang_Fetal_Megakaryocyte	-1.3270469652484544e-07	1.9984736550726884e-07	0.7466645255348858
Zhang_Zhang_Pericyte_General_2	-1.4832941179299864e-07	2.2330396065494712e-07	0.7467344919163446
Zhang_Zhang_Fetal_ParietalChief	-1.7289226498651375e-07	2.5615562680264117e-07	0.7501462645036143
Zhang_Zhang_Macrophage_General	-9.322893087268384e-08	1.377428701130064e-07	0.7507440661051927
Zhang_Zhang_Memory_B	-1.6654465342264975e-07	2.2834845440828246e-07	0.7671044729555645
Zhang_Zhang_Fetal_Enteric_Glia	-1.5937903992153441e-07	2.1154479702825232e-07	0.7743968980318765
Zhang_Zhang_Fetal_Thymocyte	-1.1307589505021737e-07	1.445022142742881e-07	0.7830455272930079
Zhang_Zhang_Pericyte_General_3	-1.4167250046098385e-07	1.8052282701276763e-07	0.7837116333708509
Zhang_Zhang_Pericyte_General_1	-1.617272482520576e-07	1.9984396896660103e-07	0.7908193794472901
Zhang_Zhang_Fetal_A_Cardiomyocyte	-1.2981773202463668e-07	1.5883502767439942e-07	0.7931248488549885
Zhang_Zhang_Fetal_Macrophage_General_1	-1.5050104788068466e-07	1.6945471628444296e-07	0.8127697135783409
Zhang_Zhang_Fetal_Cardiac_Fibroblast	-1.2728835653432248e-07	1.430523913737815e-07	0.8132139924615057
Zhang_Zhang_Fetal_Retinal_Progenitor_2	-2.059792398163785e-07	2.244355161138e-07	0.8206292532771724
Zhang_Zhang_Fetal_Photoreceptor	-1.6115476170294832e-07	1.7527912024092135e-07	0.821061486481976
Zhang_Zhang_Fetal_Astrocyte_5	-3.581237372564066e-07	3.619818159057857e-07	0.8387520276092783
Zhang_Zhang_Cardiac_Pericyte_3	-2.426879570194383e-07	2.4286819805094043e-07	0.8411651044492633
Zhang_Zhang_Fetal_Mesothelial	-2.795205698095597e-07	2.711252091435281e-07	0.848721356245347
Zhang_Zhang_Fibro_GI	-2.2707013055753988e-07	2.122266008080526e-07	0.8576772671962682
Zhang_Zhang_Fetal_Enteric_Neuron	-2.0700609981633042e-07	1.9278686581932494e-07	0.8585340257993295
Zhang_Zhang_Fetal_Fibro_General_3	-1.857674513746889e-07	1.7155312118510596e-07	0.860563989190297
Zhang_Zhang_Fetal_Schwann_General	-2.1857188628988328e-07	1.9782577389467104e-07	0.8653921735779967
Zhang_Zhang_Fetal_V_Cardiomyocyte	-1.4728986351105402e-07	1.304247865268208e-07	0.8706162120619125
Zhang_Zhang_Astrocyte_1	-2.428570181235519e-07	2.1393488968748946e-07	0.8718524057686166
Zhang_Zhang_Fetal_Inhibitory_Neuron_4	-3.920260693567209e-07	3.4498247983663716e-07	0.872098113779308
Zhang_Zhang_Fibro_Epithelial	-1.9443919543480377e-07	1.706357431566528e-07	0.8727523801643615
Zhang_Zhang_Cardiac_Fibroblast	-1.4618203676373404e-07	1.276805081834997e-07	0.8738757186470569
Zhang_Zhang_Fetal_Skeletal_Myocyte_2	-3.275396323245769e-07	2.6102774315189336e-07	0.8952257188258206
Zhang_Zhang_Fetal_Satellite_1	-2.1728648260759394e-07	1.7263619469807469e-07	0.8959194506620181
Zhang_Zhang_Fetal_Macrophage_General_2	-2.664549551254941e-07	2.106071345093542e-07	0.8970957616483716
Zhang_Zhang_Fibro_General	-1.7647067644320097e-07	1.3626983152486398e-07	0.9023414606291194
Zhang_Zhang_Fetal_Erythroblast_4	-3.676294623441082e-07	2.768081840637897e-07	0.9079277693951
Zhang_Zhang_Glutamatergic_1	-1.7280636459424583e-07	1.266419789305143e-07	0.9137990753358507
Zhang_Zhang_Fetal_Astrocyte_1	-2.4825766029036306e-07	1.783586773318983e-07	0.9180238435713116
Zhang_Zhang_Pericyte_Muscularis	-2.348039780742834e-07	1.674838765284932e-07	0.9195348729630435
Zhang_Zhang_Fetal_Skeletal_Myocyte_3	-3.318860017052655e-07	2.3651337620555235e-07	0.9197279706685777
Zhang_Zhang_Fasciculata	-2.9610430264341687e-07	2.088965446066051e-07	0.9218270227701134
Zhang_Zhang_Microglia	-2.8776680907230396e-07	1.944374237960337e-07	0.9305629799054262
Zhang_Zhang_Glomerulosa	-3.001255228666724e-07	1.9698332575969424e-07	0.9361967645828257
Zhang_Zhang_Fetal_Macrophage_Placental	-1.9685017073405606e-07	1.281713155676357e-07	0.9377107439960845
Zhang_Zhang_Fetal_Fibro_Placental_2	-6.304186305709046e-07	4.0956910134476666e-07	0.9381252017485614
Zhang_Zhang_Fetal_Satellite_2	-3.6716006612678594e-07	2.37571124981061e-07	0.9388842087061834
Zhang_Zhang_Fetal_Astrocyte_2	-2.7705318999921855e-07	1.7842701319472894e-07	0.9397589961184056
Zhang_Zhang_Fetal_T_Lymphocyte_1_CD4	-2.5854581495530245e-07	1.602696544284726e-07	0.9466486608961444
Zhang_Zhang_Enteric_Neuron	-3.734775207437382e-07	2.3037294218483196e-07	0.9475111842949213
Zhang_Zhang_Fetal_Inhibitory_Neuron_3	-5.650716786442462e-07	3.433566086548289e-07	0.9500901423288659
Zhang_Zhang_Fetal_B_Lymphocyte_2_CXCR5	-3.3509259040923464e-07	2.0218243833064347e-07	0.9512783943946447
Zhang_Zhang_Fetal_Erythroblast_5	-5.876402618973406e-07	3.5166484996334023e-07	0.9526414913205982
Zhang_Zhang_Glutamatergic_2	-2.2207137496279144e-07	1.3204446076138242e-07	0.953695451739797
Zhang_Zhang_Satellite	-3.2921890754638933e-07	1.9378562862813805e-07	0.9553292861370213
Zhang_Zhang_Fetal_Adrenal_Cortical	-2.201056022392662e-07	1.286675890705867e-07	0.9564274091734482
Zhang_Zhang_Cardiac_Pericyte_1	-2.656615132174366e-07	1.5143731465805877e-07	0.9603076329496697
Zhang_Zhang_Fetal_Fibro_General_2	-3.018425819752873e-07	1.7175347540516169e-07	0.9605766729261657
Zhang_Zhang_Fetal_Endothelial_General_3	-4.045826251569137e-07	2.2996761369686302e-07	0.9607369390313072
Zhang_Zhang_Fetal_Endothelial_Hepatic_2	-3.862511650857112e-07	2.14858421862973e-07	0.9638877857360216
Zhang_Zhang_Fetal_B_Lymphocyte_3_NPY	-3.9982056345386817e-07	2.2093355614118042e-07	0.9648278228204985
Zhang_Zhang_Fetal_Macrophage_Hepatic_1	-2.549216914803495e-07	1.4023886997309301e-07	0.9654501791435547
Zhang_Zhang_Fetal_Macrophage_General_4	-3.809826458943287e-07	2.0178489965969277e-07	0.9704912676149307
Zhang_Zhang_Fetal_Placental_Neuron	-4.421316224328931e-07	2.2863573978054644e-07	0.9734300166050253
Zhang_Zhang_Fetal_Macrophage_Hepatic_2	-4.0252114859832376e-07	2.0538746508245072e-07	0.9749912098283705
Zhang_Zhang_Fetal_Astrocyte_3	-3.857548285447055e-07	1.90052417430215e-07	0.9788079333214347
Zhang_Zhang_Fetal_B_Lymphocyte_1_SPIB	-3.604791999406609e-07	1.739262439145853e-07	0.9808951502570709
Zhang_Zhang_Fetal_Lymphatic	-3.877429589770676e-07	1.8505184030340237e-07	0.9819287550017952
Zhang_Zhang_Fetal_Stellate	-4.7068640631317606e-07	2.2085628313509413e-07	0.9834631986068249
Zhang_Zhang_Fetal_T_Lymphocyte_4_FASLG	-8.207936931900166e-07	3.8466453289643184e-07	0.9835700508485586
Zhang_Zhang_Oligodendrocyte	-3.709819022166212e-07	1.7355071612079467e-07	0.9837253637184331
Zhang_Zhang_GABA_1	-3.5203698724140407e-07	1.6390941095955555e-07	0.9841333228221831
Zhang_Zhang_Natural_Killer_T	-4.062876391068471e-07	1.869323543884395e-07	0.98512666958661
Zhang_Zhang_Fetal_Excitatory_Neuron_12	-7.332744100481696e-07	3.285207915780048e-07	0.987194128223876
Zhang_Zhang_Fetal_Fibro_General_4	-7.286149719521618e-07	3.157673974375854e-07	0.9894849054363763
Zhang_Zhang_Lymphatic	-4.065826238608257e-07	1.717306164979428e-07	0.9910471038280962
Zhang_Zhang_Fetal_Chromaffin	-3.3666149200717745e-07	1.4082923660467173e-07	0.991588772266635
Zhang_Zhang_Fetal_Inhibitory_Neuron_5	-7.514584692082956e-07	3.0586446878783156e-07	0.9929916435700725
Zhang_Zhang_Pericyte_General_4	-4.879104471811987e-07	1.9600547494952686e-07	0.9935997050605708
Zhang_Zhang_Naive_T	-4.805916439037291e-07	1.920110256111869e-07	0.9938416396860125
Zhang_Zhang_Fetal_Fibro_Muscle_1	-4.388977052878053e-07	1.6579089785714957e-07	0.9959430941229866
Zhang_Zhang_Fibro_Liver_Adrenal	-4.6802521079106946e-07	1.7284159372959414e-07	0.9966137387440528
Zhang_Zhang_Fetal_Excitatory_Neuron_11	-8.298729905173109e-07	2.9860230511919896e-07	0.9972752806371162
Zhang_Zhang_Fetal_Retinal_Neuron	-4.3744533151804577e-07	1.5713397987072386e-07	0.9973145228382883
Zhang_Zhang_Fetal_Hematopoeitic_Stem	-5.57835916754331e-07	1.8819022297075723e-07	0.9984827094931443
Zhang_Zhang_Fetal_T_Lymphocyte_3_IL2	-6.379184442508605e-07	2.138982793646866e-07	0.9985697523065846
Zhang_Zhang_Cortical_Epithelial	-5.021011580698853e-07	1.6590392932389522e-07	0.9987628111688608
Zhang_Zhang_Fetal_Excitatory_Neuron_9	-5.054535239526336e-07	1.5908912670192348e-07	0.9992564060471084
Zhang_Zhang_Fetal_T_Lymphocyte_2_Cytotoxic	-5.847123156497833e-07	1.8377675146391033e-07	0.9992677930955839
Zhang_Zhang_Fetal_Excitatory_Neuron_1	-4.770161120072116e-07	1.4960155518448038e-07	0.9992851259322606
Zhang_Zhang_Fetal_Inhibitory_Neuron_1	-5.278155689867488e-07	1.6301898077924728e-07	0.9993976295301469
Zhang_Zhang_Fetal_Adrenal_Neuron	-4.509551198153801e-07	1.296844959155926e-07	0.9997467780886092
Zhang_Zhang_Fetal_Excitatory_Neuron_10	-6.770645244591534e-07	1.8567745572910369e-07	0.999867058597786
Zhang_Zhang_Fetal_Excitatory_Neuron_6	-6.682911359155617e-07	1.8220087507856736e-07	0.9998777155431702
Zhang_Zhang_Fetal_Excitatory_Neuron_2	-7.00835110984772e-07	1.8567026614166804e-07	0.9999198748343409
Zhang_Zhang_Fetal_Excitatory_Neuron_7	-7.356124182607902e-07	1.9051635458806755e-07	0.9999435729426616
Zhang_Zhang_Fetal_Excitatory_Neuron_8	-8.667241309713811e-07	2.1016401578412122e-07	0.9999813855296881
Zhang_Zhang_Fetal_Excitatory_Neuron_3	-6.497637400302306e-07	1.5747244200502487e-07	0.9999815601552501
Zhang_Zhang_Fetal_Excitatory_Neuron_5	-7.526597567047861e-07	1.8017334424080822e-07	0.9999852582934483
Zhang_Zhang_GABA_2	-7.175714403204397e-07	1.621800955468935e-07	0.9999951674787994
Zhang_Zhang_Fetal_Excitatory_Neuron_4	-7.359225740386811e-07	1.5466357875069456e-07	0.9999990234383916
Zhang_Zhang_Fetal_Inhibitory_Neuron_2	-9.91947455125871e-07	1.893786464955371e-07	0.9999999187954128
