Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Zhang_Zhang_Chief	9.208266750841064e-07	2.0128017084217677e-07	2.382801663167573e-06
Zhang_Zhang_Fetal_Cilliated	7.185168405988958e-07	1.9389950363257596e-07	0.0001054393572500985
Zhang_Zhang_Club	8.621354377705281e-07	2.5865628172412833e-07	0.00042937149759276377
Zhang_Zhang_Colon_Goblet	6.557553344030063e-07	2.0380977464776283e-07	0.0006465940603596311
Zhang_Zhang_Alveolar_Type_2	5.949856015717966e-07	1.8570216859353997e-07	0.0006777149428262963
Zhang_Zhang_Fetal_Alveolar_Epithelial_1	5.984142622290089e-07	1.8898099447018338e-07	0.0007713433203454092
Zhang_Zhang_Mammary_Basal_Epi	5.808936900634954e-07	1.88803287710924e-07	0.0010464805690710854
Zhang_Zhang_Mammary_Luminal_Epi_1	5.47962384982066e-07	1.831967171112786e-07	0.0013898055449971833
Zhang_Zhang_Foveolar	5.652447939168433e-07	2.0207181422779932e-07	0.0025770050429642965
Zhang_Zhang_Skin_Eccrine_Epidermal	8.01699813685334e-07	3.080846159902597e-07	0.0046313020059532105
Zhang_Zhang_Ductal	5.315687778459883e-07	2.079352546174823e-07	0.005287847181486747
Zhang_Zhang_Colon_Epithelial_1	4.709601959835644e-07	1.8750156985718769e-07	0.0060064241120845584
Zhang_Zhang_Colon_Epithelial_3	6.027949972893022e-07	2.4788660412414543e-07	0.007513309460673731
Zhang_Zhang_Alveolar_Type_2_Immune	4.87880294927048e-07	2.0262937290471254e-07	0.008025646820178495
Zhang_Zhang_Esophageal_Epithelial	2.904835490041326e-07	1.2076358803879853e-07	0.008077603337249115
Zhang_Zhang_Fetal_Gastri_Goblet	5.349015432027594e-07	2.2757880288651455e-07	0.009376587018287056
Zhang_Zhang_Parietal	3.995168959064738e-07	1.7817086638613826e-07	0.012470204254930017
Zhang_Zhang_Skin_Basal_Epidermal	5.592025627077221e-07	2.519606714732633e-07	0.013229620413354532
Zhang_Zhang_Skin_Granular_Epidermal	5.235349722859506e-07	2.364979710417075e-07	0.013424796784918532
Zhang_Zhang_Mammary_Epithelial	3.350926752314641e-07	1.5174249651738547e-07	0.013611747901573478
Zhang_Zhang_Follicular	3.1201913092586374e-07	1.4241691896844765e-07	0.014230047724632376
Zhang_Zhang_Fetal_Ductal	4.6672093325747947e-07	2.292608797405672e-07	0.02088705411465147
Zhang_Zhang_Paneth	4.859141163856477e-07	2.4550080504314116e-07	0.02389240937338666
Zhang_Zhang_Enterochromaffin	4.838630561738018e-07	2.4864972220272393e-07	0.025829617066317586
Zhang_Zhang_SI_Goblet	4.342233639063162e-07	2.2321806026324142e-07	0.02587017629010064
Zhang_Zhang_Fetal_Acinar_2	4.3174046742340644e-07	2.24064260101045e-07	0.026998537804737356
Zhang_Zhang_Fetal_Enterocyte_3	3.5018420258134627e-07	1.8859068767159525e-07	0.03166640580466147
Zhang_Zhang_Keratinocyte_1	3.4838570664599486e-07	1.8813484423465415e-07	0.03202818930261434
Zhang_Zhang_Fetal_Ureteric_Bud	4.2985282403992074e-07	2.3218410621980007e-07	0.03205998666259608
Zhang_Zhang_Colon_Epithelial_2	3.807935834478963e-07	2.0619239699682334e-07	0.03238895731664573
Zhang_Zhang_Fetal_Hepatoblast	2.4231022430117757e-07	1.352792702705528e-07	0.036631791665665776
Zhang_Zhang_Enterocyte	2.9829392175275187e-07	1.7301562262480572e-07	0.042346102670743534
Zhang_Zhang_Fetal_Acinar_1	4.043317424595824e-07	2.5119034271626036e-07	0.05373574857526701
Zhang_Zhang_Myoepithelial	3.621112678285733e-07	2.2670457960724708e-07	0.05510136996070234
Zhang_Zhang_Hepatocyte	2.1397196403096338e-07	1.3636508818218143e-07	0.05831103500896508
Zhang_Zhang_Mammary_Luminal_Epi_2	3.902436992080903e-07	2.555200404773242e-07	0.06334907978143164
Zhang_Zhang_Fetal_SyncitioCytotrophoblast	1.7760495799468528e-07	1.235271742585177e-07	0.07524817696631919
Zhang_Zhang_Fetal_Fibro_General_1	2.1575613481683225e-07	1.5284750858515893e-07	0.07903717098190355
Zhang_Zhang_Fetal_Cholangiocyte	3.973202588062356e-07	3.16963479193876e-07	0.10500814876613024
Zhang_Zhang_Alveolar_Type_1	1.9552339840581291e-07	1.5672968260151945e-07	0.10610346356988637
Zhang_Zhang_Cilliated	4.180224985460761e-07	3.489116691891674e-07	0.1154438262832459
Zhang_Zhang_Gastric_Neuroendocrine	2.3378744046593039e-07	2.230444180390898e-07	0.14728120560663094
Zhang_Zhang_Fetal_Metanephric	1.7211491664893816e-07	1.7063239539327816e-07	0.15656205010756163
Zhang_Zhang_Fetal_Endocardial	1.8347913893701648e-07	2.1723434487385605e-07	0.19916323351470883
Zhang_Zhang_Alveolar_Cap_Endo	1.5888838961934186e-07	2.0438074299634897e-07	0.21845736610459743
Zhang_Zhang_Fetal_Enterocyte_1	1.0621763869874845e-07	1.411473233512278e-07	0.22586610531978624
Zhang_Zhang_Sm_Ms_Colon_1	1.522193241376988e-07	2.04688812109851e-07	0.22854044367587517
Zhang_Zhang_Endothelial_General_1	1.0631688612974349e-07	1.921361563945004e-07	0.29001483512318926
Zhang_Zhang_Fetal_Alveolar_Epithelial_2	3.3515966778441355e-07	6.059506950827054e-07	0.2900927572546671
Zhang_Zhang_Endothelial_General_3	1.2631923892762344e-07	2.3765605584334643e-07	0.2975288170749904
Zhang_Zhang_Fetal_Mesangial_1	8.963304478462706e-08	1.6970224631946484e-07	0.2986877929287791
Zhang_Zhang_Endothelial_General_2	1.213099047698012e-07	2.3136285554851732e-07	0.30002539078273666
Zhang_Zhang_Fetal_Fibro_General_5	1.7377704355541232e-07	3.6050541090706584e-07	0.3148897358280673
Zhang_Zhang_Melanocyte	1.0604375875691418e-07	2.265065581053464e-07	0.3198312224096286
Zhang_Zhang_Fetal_Erythroblast_1	7.99619193417882e-08	2.0969103055173558e-07	0.3514784217431118
Zhang_Zhang_Fetal_Pulmonary_Neuroendocrine	8.750332709610087e-08	2.6655448758934587e-07	0.3713516559025581
Zhang_Zhang_Fetal_Enterocyte_2	4.756848153376391e-08	1.6469495765096423e-07	0.3863565802537467
Zhang_Zhang_Fetal_Enteroendocrine	8.537204983260064e-08	2.9901411081668054e-07	0.3876260418751337
Zhang_Zhang_Fetal_Goblet	7.456857678846278e-08	2.652191911620878e-07	0.38929449360342483
Zhang_Zhang_Fetal_Erythroblast_3	3.231883677795003e-08	1.3840228385197588e-07	0.4076812455386595
Zhang_Zhang_Fetal_Astrocyte_4	4.843137488221278e-08	2.2471390756158315e-07	0.4146791676096299
Zhang_Zhang_Fetal_Mesangial_2	3.5083216134041687e-08	1.7802394276012205e-07	0.42188629685158263
Zhang_Zhang_BBB_Endothelial	5.350673776793786e-08	2.933107862552088e-07	0.42762524922626693
Zhang_Zhang_Fetal_Alveolar_Cap_Endo	3.5744527039481924e-08	2.0347896969319023e-07	0.4302778064866798
Zhang_Zhang_Fetal_Endothelial_Placental	4.941971454555049e-08	3.246812137878938e-07	0.4395106692982973
Zhang_Zhang_Beta_1	1.543735437078472e-08	1.4504468539173366e-07	0.4576199161984643
Zhang_Zhang_Keratinocyte_2	1.9520647510366305e-08	2.040833582961331e-07	0.46189913192014953
Zhang_Zhang_DeltaGamma	1.2937301490971081e-08	1.550705473510857e-07	0.4667554181663429
Zhang_Zhang_Endothelial_Myocardial	4.964860968716376e-09	1.8102664028002373e-07	0.4890599269191903
Zhang_Zhang_Alpha_2	3.372516950947945e-09	1.657317764772284e-07	0.4918823850106937
Zhang_Zhang_Fetal_Endothelial_General_1	-5.010481176966392e-09	1.8630590358475914e-07	0.5107277966769881
Zhang_Zhang_Fetal_Endothelial_Hepatic_1	-9.376361221957867e-09	2.0905607029608818e-07	0.5178869390830166
Zhang_Zhang_Fetal_Erythroblast_2	-1.1346177020557347e-08	2.4137998002048024e-07	0.5187455620960869
Zhang_Zhang_Mast	-1.0560638006641847e-08	2.100551173345455e-07	0.520048599056017
Zhang_Zhang_Fetal_Fibro_Placental_1	-1.1249791597062918e-08	1.672306644404721e-07	0.5268170602068353
Zhang_Zhang_Fetal_Fibro_Splenic	-2.678242335172648e-08	2.1663144879607525e-07	0.549196387779482
Zhang_Zhang_Fetal_Fibro_GI	-2.2202737542137035e-08	1.7468593577692203e-07	0.5505697256426928
Zhang_Zhang_Fetal_Endothelial_General_2	-2.995675848842952e-08	2.246678944348809e-07	0.553036945651735
Zhang_Zhang_Plasma_B	-2.77544936462274e-08	1.89734993875687e-07	0.558149945345268
Zhang_Zhang_Fetal_Retinal_Progenitor_1	-2.2295761505495462e-08	1.511286930054338e-07	0.5586424841529948
Zhang_Zhang_Fetal_Skeletal_Myocyte_1	-2.2619948705105344e-08	1.4448878581371195e-07	0.5622008699923264
Zhang_Zhang_Fibro_Nerve	-3.0390258251685655e-08	1.8733100021507254e-07	0.5644366863204103
Zhang_Zhang_Fetal_Retinal_Pigment	-5.285329354507176e-08	2.3334916870959482e-07	0.5895932318677832
Zhang_Zhang_Luteal	-4.962481140052771e-08	2.138883427732319e-07	0.5917359242090999
Zhang_Zhang_Fetal_Macrophage_Hepatic_3	-4.8055091174016297e-08	1.8633323158242477e-07	0.6017574413743457
Zhang_Zhang_Endothelial_Exocrine	-7.10597320264376e-08	2.548911361076469e-07	0.6097949461933636
Zhang_Zhang_Macrophage_Gen_or_Alv	-3.772303331473034e-08	1.3053792596182242e-07	0.6137021964740274
Zhang_Zhang_Mesothelial	-5.5892621030133844e-08	1.6285768927625829e-07	0.6342756791077258
